Index,Action number, actual_action dim1, actual_action dim2, cores in use dim1, cores in use dim2, number of jobs allocated, jobs in the system 
19729,4,0,0;2,8,2,2,32
19730,4,0,0;2,8,2,2,33
19731,4,0,0;2,8,2,2,34
19732,4,0,0;2,8,2,2,35
19733,4,0,0;2,8,2,2,36
19734,4,0,0;2,8,2,2,37
19735,4,0,0;2,8,2,2,38
19736,4,0,0;2,8,2,2,39
19737,4,0,0;2,8,2,2,40
19738,4,0,0;2,8,2,2,41
19739,4,0,0;2,8,2,2,42
19740,4,0,0;2,8,2,2,43
19741,4,0,0;2,8,2,2,44
19742,4,0,0;2,8,2,2,45
19743,4,0,0;2,8,2,2,46
19744,4,0,0;2,8,2,2,47
19745,4,0,0;2,8,2,2,48
19746,4,0,0;2,8,2,2,49
19747,4,0,0;2,8,2,2,50
19748,4,0,0;2,8,2,2,51
19749,4,0,0;2,8,2,2,52
19750,4,0,0;2,8,2,2,53
19751,4,0,0;2,8,2,2,54
19752,4,0,0;2,8,2,2,55
19753,4,0,0;2,8,2,2,56
19754,4,0,0;2,8,2,2,57
19755,4,0,0;2,8,2,2,58
19756,4,0,0;2,8,2,2,59
19757,4,0,0;2,8,2,2,60
19758,4,0,0;2,8,2,2,61
19759,4,0,0;2,8,2,2,62
19760,4,0,0;2,8,2,2,63
19761,4,0,0;2,8,2,2,64
19762,4,0,0;2,8,2,2,65
19763,4,0,0;2,8,2,2,66
19764,4,0,0;2,8,2,2,67
19765,4,0,0;2,8,2,2,68
19766,4,0,0;2,8,2,2,69
19767,4,0,0;2,8,2,2,70
19768,4,0,0;2,8,2,2,71
19769,4,0,0;2,8,2,2,72
19770,4,0,0;2,8,2,2,73
19771,4,0,0;2,8,2,2,74
19772,4,0,0;2,8,2,2,75
19773,4,0,0;2,8,2,2,76
19774,4,0,0;2,8,2,2,77
19775,4,0,0;2,8,2,2,78
19776,4,0,0;2,8,2,2,79
19777,4,0,0;2,8,2,2,80
19778,4,0,0;2,8,2,2,81
19779,4,0,0;2,8,2,2,82
19780,4,0,0;2,8,2,2,83
19781,4,0,0;2,8,2,2,84
19782,4,0,0;2,8,2,2,85
19783,4,0,0;2,8,2,2,86
19784,4,0,0;2,8,2,2,87
19785,4,0,0;2,8,2,2,88
19786,4,0,0;2,8,2,2,89
19787,4,0,0;2,8,2,2,90
19788,4,0,0;2,8,2,2,91
19789,4,0,0;2,8,2,2,92
19790,4,0,0;2,8,2,2,93
19791,4,0,0;2,8,2,2,94
19792,4,0,0;2,8,2,2,95
19793,4,0,0;2,8,2,2,96
19794,1,0,0,8,2,0,99
19795,1,0,0,8,2,0,100
19796,1,0,0,8,2,0,0
19797,1,0,0,8,2,0,1
19798,1,0,0,8,2,0,2
19799,1,0,0,8,2,0,3
19800,1,0,0,8,2,0,4
19801,4,0,0;2,8,2,2,3
19802,4,0,0;2,8,2,2,4
19803,4,0,0;2,8,2,2,5
19804,4,0,0;2,8,2,2,6
19805,4,0,0;2,8,2,2,7
19806,4,0,0;2,8,2,2,8
19807,4,0,0;2,8,2,2,9
19808,4,0,0;2,8,2,2,10
19809,4,0,0;2,8,2,2,11
19810,4,0,0;2,8,2,2,12
19811,4,0,0;2,8,2,2,13
19812,4,0,0;2,8,2,2,14
19813,4,0,0;2,8,2,2,15
19814,4,0,0;2,8,2,2,16
19815,4,0,0;2,8,2,2,17
19816,4,0,0;2,8,2,2,18
19817,4,0,0;2,8,2,2,19
19818,4,0,0;2,8,2,2,20
19819,4,0,0;2,8,2,2,21
19820,4,0,0;2,8,2,2,22
19821,4,0,0;2,8,2,2,23
19822,4,0,0;2,8,2,2,24
19823,4,0,0;2,8,2,2,25
19824,4,0,0;2,8,2,2,26
19825,4,0,0;2,8,2,2,27
19826,4,0,0;2,8,2,2,28
19827,4,0,0;2,8,2,2,29
19828,4,0,0;2,8,2,2,30
19829,4,0,0;2,8,2,2,31
19830,4,0,0;2,8,2,2,32
